J1,J2,J3,J4,J5,J6,floor_clear_mm,self_clear_mm,self_target,collision
90,11.3,76.3,46.6,152.8,6,-0.3,24.6,wrist.b.stl,1
90,172.6,64,64.2,2.9,33.3,-72.2,25.6,wrist.b.stl,1
90,72.2,167.3,17.9,170.2,156.5,50.0,-8.9,elbow.b.stl,1
90,81.7,58.8,41.9,110.6,6,50.0,27.4,wrist.b.stl,0
90,2.8,77.2,12.3,45.3,39.8,44.3,24.6,wrist.b.stl,0
90,45.6,23.6,2.2,20.8,111.3,50.0,22.6,wrist.b.stl,0
90,175.4,178.3,73.6,29.3,115,50.0,21.7,wrist.b.stl,0
90,88.3,178.1,11.8,141,51.9,50.0,21.2,elbow.b.stl,0
90,43.5,119.3,44.3,119.9,93.1,50.0,23.0,wrist.b.stl,0
90,76.3,99.8,51.7,127.2,74.7,50.0,21.5,wrist.b.stl,0
90,64.9,149.2,166.5,8.3,41.9,50.0,27.5,wrist.b.stl,0
90,62.7,146.7,177.4,174.4,162.9,50.0,28.4,wrist.b.stl,0
90,53.4,178.6,44.9,19.1,171.2,47.0,27.7,wrist.b.stl,0
90,42,124.2,10.5,131.5,158.7,50.0,25.7,wrist.b.stl,0
90,49,68.2,67.4,134.8,42.8,50.0,26.3,wrist.b.stl,0
90,30.9,80.9,54.8,151.1,42.8,50.0,24.9,wrist.b.stl,0
90,90.4,169.7,114.1,156.1,169.2,50.0,27.1,wrist.b.stl,0
90,135.1,125.9,174.2,179,81.3,50.0,24.0,wrist.b.stl,0
90,12.8,52.7,27.4,75.1,23.6,50.0,29.4,wrist.b.stl,0
90,108.7,68.9,161.2,174.2,98.4,50.0,24.5,wrist.b.stl,0
90,49.5,106.6,161.4,73.2,99.4,50.0,27.9,wrist.b.stl,0
90,48.9,82,72.3,44.7,91.1,50.0,20.5,wrist.b.stl,0
90,55.9,67.1,94.5,135.1,60,50.0,26.3,wrist.b.stl,0
90,166.3,155.2,8.8,45.7,80.3,50.0,22.9,wrist.b.stl,0
90,18.8,62.7,133.2,122.5,112,50.0,24.0,wrist.b.stl,0
90,127.9,36.9,61.5,121.7,158.3,50.0,27.8,wrist.b.stl,0
90,97.9,50.9,5.4,127.9,1.4,50.0,22.6,wrist.b.stl,0
90,67.1,95.5,166,16.1,73.1,50.0,23.3,wrist.b.stl,0
90,4.4,61.7,112,50.2,37.8,50.0,23.7,wrist.b.stl,0
90,20.8,103.9,125.1,121,170.8,50.0,29.1,wrist.b.stl,0
90,0.5,116.5,108.1,106,173.3,8.7,33.2,wrist.b.stl,0
90,3,125.4,146.5,91.8,60.1,45.1,32.4,wrist.b.stl,0
90,142.4,17.5,79.6,93.6,124.9,50.0,31.1,wrist.b.stl,0
90,16.4,41,73.9,112.2,159.7,50.0,30.6,wrist.b.stl,0
90,111.4,24,176.5,156.9,90.5,50.0,22.7,wrist.b.stl,0
90,166,97.4,166.2,149.4,174.3,50.0,26.1,wrist.b.stl,0
90,165.6,6.5,31.5,70,171.4,-35.9,31.7,wrist.b.stl,1
90,54,28.9,159.5,80.4,163.4,50.0,33.8,wrist.b.stl,0
90,28.8,119,79.2,13.8,125.4,50.0,25.0,wrist.b.stl,0
90,44.5,7.1,10.8,11,163.4,50.0,28.0,wrist.b.stl,0
90,133.2,161.7,121.1,95.2,54.8,50.0,32.5,wrist.b.stl,0
90,179.6,65.2,84.7,68.1,176.3,-24.6,31.0,wrist.b.stl,1
90,31.4,59,122.5,11.4,109.3,50.0,23.6,wrist.b.stl,0
90,86,51.1,42.9,92.6,66.2,50.0,31.3,wrist.b.stl,0
90,82.2,60.7,174.7,24,17.4,50.0,23.4,wrist.b.stl,0
90,61.8,106.4,118.7,71.5,179.9,50.0,31.8,wrist.b.stl,0
90,63.3,129.9,114.8,146.3,175.7,50.0,25.7,wrist.b.stl,0
90,160.2,137.6,125.7,60.4,26.6,50.0,25.2,wrist.b.stl,0
90,11.3,43.5,77.8,94,139.2,50.0,33.4,wrist.b.stl,0
